id,context_en,question_en,answer_en,context_es,question_es,answer_es,prompt_en,prompt_es
57296d1b1d0469140077940f,There are some common misconceptions about the outer and inner chloroplast membranes. The fact that chloroplasts are surrounded by a double membrane is often cited as evidence that they are the descendants of endosymbiotic cyanobacteria. This is often interpreted as meaning the outer chloroplast membrane is the product of the host's cell membrane infolding to form a vesicle to surround the ancestral cyanobacterium—which is not true—both chloroplast membranes are homologous to the cyanobacterium's original double membranes.,How do both chloroplast membranes compare to cyanobacterium's original double membranes?,homologous,"Hay algunas ideas falsas comunes sobre las membranas de cloroplasto exterior e interior. El hecho de que los cloroplastos estén rodeados por una membrana doble a menudo se cita como evidencia de que son descendientes de cianobacterias endosimbióticas. Esto a menudo se interpreta como que la membrana externa de cloroplasto es el producto de la membrana celular del huésped que se pliega para formar una vesícula que rodea la cianobacteria ancestral, lo cual no es cierto, ya que ambas membranas de cloroplasto son homólogas a las membranas dobles originales de la cianobacteria.",¿Cómo se comparan ambas membranas de cloroplasto con las membranas dobles originales de la cianobacteria?,homólogas,"Context: There are some common misconceptions about the outer and inner chloroplast membranes. The fact that chloroplasts are surrounded by a double membrane is often cited as evidence that they are the descendants of endosymbiotic cyanobacteria. This is often interpreted as meaning the outer chloroplast membrane is the product of the host's cell membrane infolding to form a vesicle to surround the ancestral cyanobacterium—which is not true—both chloroplast membranes are homologous to the cyanobacterium's original double membranes.
Question: How do both chloroplast membranes compare to cyanobacterium's original double membranes?
Answer strictly based on the context:","Contexto: Hay algunas ideas falsas comunes sobre las membranas de cloroplasto exterior e interior. El hecho de que los cloroplastos estén rodeados por una membrana doble a menudo se cita como evidencia de que son descendientes de cianobacterias endosimbióticas. Esto a menudo se interpreta como que la membrana externa de cloroplasto es el producto de la membrana celular del huésped que se pliega para formar una vesícula que rodea la cianobacteria ancestral, lo cual no es cierto, ya que ambas membranas de cloroplasto son homólogas a las membranas dobles originales de la cianobacteria.
Pregunta: ¿Cómo se comparan ambas membranas de cloroplasto con las membranas dobles originales de la cianobacteria?
Responde estrictamente basándote en el contexto:"
57111713a58dae1900cd6c03,"Most of the Huguenot congregations (or individuals) in North America eventually affiliated with other Protestant denominations with more numerous members. The Huguenots adapted quickly and often married outside their immediate French communities, which led to their assimilation. Their descendants in many families continued to use French first names and surnames for their children well into the nineteenth century. Assimilated, the French made numerous contributions to United States economic life, especially as merchants and artisans in the late Colonial and early Federal periods. For example, E.I. du Pont, a former student of Lavoisier, established the Eleutherian gunpowder mills.",For how long did Huguenots continue to use French names?,well into the nineteenth century,"La mayoría de las congregaciones (o individuos) hugonotes en Norteamérica finalmente se adhirieron a otras denominaciones protestantes con miembros más numerosos. Los hugonotes se adaptaron rápidamente y a menudo se casaron fuera de sus comunidades francesas inmediatas, lo que dio lugar a su asimilación. Sus descendientes en muchas familias continuaron utilizando nombres y apellidos franceses para sus hijos hasta bien entrado el siglo XIX. Asimilados, los franceses hicieron numerosas contribuciones a la vida económica de los Estados Unidos, especialmente como comerciantes y artesanos en los últimos años de la Colonia y en los primeros períodos federales. Por ejemplo, E.I. du Pont, un antiguo alumno de Lavoisier, creó los molinos de pólvora eleuterianos.",¿Durante cuánto tiempo los hugonotes siguieron usando nombres franceses?,hasta bien entrado el siglo XIX,"Context: Most of the Huguenot congregations (or individuals) in North America eventually affiliated with other Protestant denominations with more numerous members. The Huguenots adapted quickly and often married outside their immediate French communities, which led to their assimilation. Their descendants in many families continued to use French first names and surnames for their children well into the nineteenth century. Assimilated, the French made numerous contributions to United States economic life, especially as merchants and artisans in the late Colonial and early Federal periods. For example, E.I. du Pont, a former student of Lavoisier, established the Eleutherian gunpowder mills.
Question: For how long did Huguenots continue to use French names?
Answer strictly based on the context:","Contexto: La mayoría de las congregaciones (o individuos) hugonotes en Norteamérica finalmente se adhirieron a otras denominaciones protestantes con miembros más numerosos. Los hugonotes se adaptaron rápidamente y a menudo se casaron fuera de sus comunidades francesas inmediatas, lo que dio lugar a su asimilación. Sus descendientes en muchas familias continuaron utilizando nombres y apellidos franceses para sus hijos hasta bien entrado el siglo XIX. Asimilados, los franceses hicieron numerosas contribuciones a la vida económica de los Estados Unidos, especialmente como comerciantes y artesanos en los últimos años de la Colonia y en los primeros períodos federales. Por ejemplo, E.I. du Pont, un antiguo alumno de Lavoisier, creó los molinos de pólvora eleuterianos.
Pregunta: ¿Durante cuánto tiempo los hugonotes siguieron usando nombres franceses?
Responde estrictamente basándote en el contexto:"
572a020f6aef051400155199,"Environmentalists are concerned about loss of biodiversity that will result from destruction of the forest, and also about the release of the carbon contained within the vegetation, which could accelerate global warming. Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems—of the order of 1.1 × 1011 metric tonnes of carbon. Amazonian forests are estimated to have accumulated 0.62 ± 0.37 tons of carbon per hectare per year between 1975 and 1996.","The loss of biodiversity may be the result of what, according to environmentalists?",destruction of the forest,"Los ambientalistas están preocupados por la pérdida de biodiversidad que se producirá como resultado de la destrucción del bosque, y también por la liberación del carbono contenido en la vegetación, que podría acelerar el calentamiento global. Los bosques perennes amazónicos representan alrededor del 10 % de la productividad primaria terrestre mundial y el 10 % de los depósitos de carbono en los ecosistemas, del orden de 1,1 × 1011 toneladas métricas de carbono. Se estima que los bosques amazónicos han acumulado 0,62 ± 0,37 toneladas de carbono por hectárea y año entre 1975 y 1996.","¿De qué se deriva la pérdida de biodiversidad, según los ambientalistas?",destrucción del bosque,"Context: Environmentalists are concerned about loss of biodiversity that will result from destruction of the forest, and also about the release of the carbon contained within the vegetation, which could accelerate global warming. Amazonian evergreen forests account for about 10% of the world's terrestrial primary productivity and 10% of the carbon stores in ecosystems—of the order of 1.1 × 1011 metric tonnes of carbon. Amazonian forests are estimated to have accumulated 0.62 ± 0.37 tons of carbon per hectare per year between 1975 and 1996.
Question: The loss of biodiversity may be the result of what, according to environmentalists?
Answer strictly based on the context:","Contexto: Los ambientalistas están preocupados por la pérdida de biodiversidad que se producirá como resultado de la destrucción del bosque, y también por la liberación del carbono contenido en la vegetación, que podría acelerar el calentamiento global. Los bosques perennes amazónicos representan alrededor del 10 % de la productividad primaria terrestre mundial y el 10 % de los depósitos de carbono en los ecosistemas, del orden de 1,1 × 1011 toneladas métricas de carbono. Se estima que los bosques amazónicos han acumulado 0,62 ± 0,37 toneladas de carbono por hectárea y año entre 1975 y 1996.
Pregunta: ¿De qué se deriva la pérdida de biodiversidad, según los ambientalistas?
Responde estrictamente basándote en el contexto:"
5730b2ac2461fd1900a9cfb4,"Historically, the Methodist Church has supported the temperance movement. John Wesley warned against the dangers of drinking in his famous sermon, ""The Use of Money,"" and in his letter to an alcoholic. At one time, Methodist ministers had to take a pledge not to drink and encouraged their congregations to do the same. Today the United Methodist Church states that it ""affirms our long-standing support of abstinence from alcohol as a faithful witness to God's liberating and redeeming love for persons."" In fact, the United Methodist Church uses unfermented grape juice in the sacrament of Holy Communion, thus ""expressing pastoral concern for recovering alcoholics, enabling the participation of children and youth, and supporting the church's witness of abstinence."" Moreover, in 2011 and 2012, The United Methodist Church's General Board of Church and Society called on all United Methodists to abstain from alcohol for Lent.",What was the name of Wesley's famous sermon in which he warned against the dangers of drinking?,The Use of Money,"Históricamente, la Iglesia Metodista ha apoyado el movimiento de templanza. John Wesley advirtió contra los peligros de la bebida en su famoso sermón, ""El uso del dinero,"" y en su carta a un alcohólico. En algún momento, los ministros metodistas tuvieron que comprometerse a no beber y animaron a sus congregaciones a hacer lo mismo. Hoy la Iglesia Metodista Unida manifiesta que ""afirma nuestro apoyo de larga data a la abstinencia del alcohol como testimonio fiel del amor liberador y redentor de Dios por las personas"". De hecho, la Iglesia Metodista Unida usa jugo de uva sin fermentar en el sacramento de la Sagrada Comunión, ""expresando así la preocupación pastoral por los alcohólicos en recuperación, permitiendo la participación de niños y jóvenes y apoyando el testimonio de abstinencia de la iglesia"". Además, en 2011 y 2012, la Junta General de Iglesia y Sociedad de la Iglesia Metodista Unida hizo un llamamiento a todos los Metodistas Unidos para que se abstuvieran de consumir alcohol durante la Cuaresma.",¿Cuál fue el nombre del famoso sermón de Wesley en el que advirtió contra los peligros de la bebida?,El uso del dinero,"Context: Historically, the Methodist Church has supported the temperance movement. John Wesley warned against the dangers of drinking in his famous sermon, ""The Use of Money,"" and in his letter to an alcoholic. At one time, Methodist ministers had to take a pledge not to drink and encouraged their congregations to do the same. Today the United Methodist Church states that it ""affirms our long-standing support of abstinence from alcohol as a faithful witness to God's liberating and redeeming love for persons."" In fact, the United Methodist Church uses unfermented grape juice in the sacrament of Holy Communion, thus ""expressing pastoral concern for recovering alcoholics, enabling the participation of children and youth, and supporting the church's witness of abstinence."" Moreover, in 2011 and 2012, The United Methodist Church's General Board of Church and Society called on all United Methodists to abstain from alcohol for Lent.
Question: What was the name of Wesley's famous sermon in which he warned against the dangers of drinking?
Answer strictly based on the context:","Contexto: Históricamente, la Iglesia Metodista ha apoyado el movimiento de templanza. John Wesley advirtió contra los peligros de la bebida en su famoso sermón, ""El uso del dinero,"" y en su carta a un alcohólico. En algún momento, los ministros metodistas tuvieron que comprometerse a no beber y animaron a sus congregaciones a hacer lo mismo. Hoy la Iglesia Metodista Unida manifiesta que ""afirma nuestro apoyo de larga data a la abstinencia del alcohol como testimonio fiel del amor liberador y redentor de Dios por las personas"". De hecho, la Iglesia Metodista Unida usa jugo de uva sin fermentar en el sacramento de la Sagrada Comunión, ""expresando así la preocupación pastoral por los alcohólicos en recuperación, permitiendo la participación de niños y jóvenes y apoyando el testimonio de abstinencia de la iglesia"". Además, en 2011 y 2012, la Junta General de Iglesia y Sociedad de la Iglesia Metodista Unida hizo un llamamiento a todos los Metodistas Unidos para que se abstuvieran de consumir alcohol durante la Cuaresma.
Pregunta: ¿Cuál fue el nombre del famoso sermón de Wesley en el que advirtió contra los peligros de la bebida?
Responde estrictamente basándote en el contexto:"
5726eb8bf1498d1400e8efe2,"Disorders of the immune system can result in autoimmune diseases, inflammatory diseases and cancer. Immunodeficiency occurs when the immune system is less active than normal, resulting in recurring and life-threatening infections. In humans, immunodeficiency can either be the result of a genetic disease such as severe combined immunodeficiency, acquired conditions such as HIV/AIDS, or the use of immunosuppressive medication. In contrast, autoimmunity results from a hyperactive immune system attacking normal tissues as if they were foreign organisms. Common autoimmune diseases include Hashimoto's thyroiditis, rheumatoid arthritis, diabetes mellitus type 1, and systemic lupus erythematosus. Immunology covers the study of all aspects of the immune system.",What can result from disorders of the immune system?,autoimmune diseases,"Los trastornos del sistema inmunológico pueden provocar enfermedades autoinmunes, enfermedades inflamatorias y cáncer. La inmunodeficiencia se produce cuando el sistema inmunitario está menos activo de lo normal, lo que da lugar a infecciones recurrentes y potencialmente mortales. En los seres humanos, la inmunodeficiencia puede ser el resultado de una enfermedad genética como la inmunodeficiencia combinada severa, afecciones adquiridas como el VIH/SIDA o el uso de medicamentos inmunosupresores. Por el contrario, la autoinmunidad es el resultado de un sistema inmunológico hiperactivo que ataca los tejidos normales como si fueran organismos extraños. Las enfermedades autoinmunes comunes incluyen la tiroiditis de Hashimoto, la artritis reumatoide, la diabetes mellitus tipo 1 y el lupus eritematoso sistémico. La inmunología comprende el estudio de todos los aspectos del sistema inmunológico.",¿Qué puede derivarse de los trastornos del sistema inmunológico?,enfermedades autoinmunes,"Context: Disorders of the immune system can result in autoimmune diseases, inflammatory diseases and cancer. Immunodeficiency occurs when the immune system is less active than normal, resulting in recurring and life-threatening infections. In humans, immunodeficiency can either be the result of a genetic disease such as severe combined immunodeficiency, acquired conditions such as HIV/AIDS, or the use of immunosuppressive medication. In contrast, autoimmunity results from a hyperactive immune system attacking normal tissues as if they were foreign organisms. Common autoimmune diseases include Hashimoto's thyroiditis, rheumatoid arthritis, diabetes mellitus type 1, and systemic lupus erythematosus. Immunology covers the study of all aspects of the immune system.
Question: What can result from disorders of the immune system?
Answer strictly based on the context:","Contexto: Los trastornos del sistema inmunológico pueden provocar enfermedades autoinmunes, enfermedades inflamatorias y cáncer. La inmunodeficiencia se produce cuando el sistema inmunitario está menos activo de lo normal, lo que da lugar a infecciones recurrentes y potencialmente mortales. En los seres humanos, la inmunodeficiencia puede ser el resultado de una enfermedad genética como la inmunodeficiencia combinada severa, afecciones adquiridas como el VIH/SIDA o el uso de medicamentos inmunosupresores. Por el contrario, la autoinmunidad es el resultado de un sistema inmunológico hiperactivo que ataca los tejidos normales como si fueran organismos extraños. Las enfermedades autoinmunes comunes incluyen la tiroiditis de Hashimoto, la artritis reumatoide, la diabetes mellitus tipo 1 y el lupus eritematoso sistémico. La inmunología comprende el estudio de todos los aspectos del sistema inmunológico.
Pregunta: ¿Qué puede derivarse de los trastornos del sistema inmunológico?
Responde estrictamente basándote en el contexto:"
56bec6ac3aeaaa14008c93fe,"Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation.",What did Lady Gaga sing?,the national anthem,"Lady Gaga, la seis veces ganadora del Grammy y nominada al Óscar, cantó el himno nacional estadounidense; mientras que Marlee Matlin, la ganadora del Óscar, lo traducía a la lengua de signos americana (ASL, por sus siglas en inglés).",¿Qué cantó Lady Gaga?,el himno nacional estadounidense,"Context: Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation.
Question: What did Lady Gaga sing?
Answer strictly based on the context:","Contexto: Lady Gaga, la seis veces ganadora del Grammy y nominada al Óscar, cantó el himno nacional estadounidense; mientras que Marlee Matlin, la ganadora del Óscar, lo traducía a la lengua de signos americana (ASL, por sus siglas en inglés).
Pregunta: ¿Qué cantó Lady Gaga?
Responde estrictamente basándote en el contexto:"
572ff932a23a5019007fcbd7,"Islamism is a controversial concept not just because it posits a political role for Islam but also because its supporters believe their views merely reflect Islam, while the contrary idea that Islam is, or can be, apolitical is an error. Scholars and observers who do not believe that Islam is merely a political ideology include Fred Halliday, John Esposito and Muslim intellectuals like Javed Ahmad Ghamidi. Hayri Abaza argues the failure to distinguish between Islam and Islamism leads many in the West to support illiberal Islamic regimes, to the detriment of progressive moderates who seek to separate religion from politics.",The idea that Islam can be apolitical isn't able to be embraced by whom?,its supporters,"El islamismo es un concepto controvertido no solo porque plantea un papel político para el Islam, sino también porque sus partidarios creen que sus puntos de vista simplemente reflejan el Islam, mientras que la idea contraria de que el Islam es, o puede ser, apolítico es un error. Entre los estudiosos y observadores que no creen que el Islam sea meramente una ideología política se encuentran Fred Halliday, John Esposito e intelectuales musulmanes como Javed Ahmad Ghamidi. Hayri Abaza argumenta que la falta de distinción entre el islam y el islamismo lleva a muchos en Occidente a apoyar regímenes islámicos antiliberales, en detrimento de los moderados progresistas que buscan separar la religión de la política.",¿Quién no puede aceptar la idea de que el Islam puede ser apolítico?,sus partidarios,"Context: Islamism is a controversial concept not just because it posits a political role for Islam but also because its supporters believe their views merely reflect Islam, while the contrary idea that Islam is, or can be, apolitical is an error. Scholars and observers who do not believe that Islam is merely a political ideology include Fred Halliday, John Esposito and Muslim intellectuals like Javed Ahmad Ghamidi. Hayri Abaza argues the failure to distinguish between Islam and Islamism leads many in the West to support illiberal Islamic regimes, to the detriment of progressive moderates who seek to separate religion from politics.
Question: The idea that Islam can be apolitical isn't able to be embraced by whom?
Answer strictly based on the context:","Contexto: El islamismo es un concepto controvertido no solo porque plantea un papel político para el Islam, sino también porque sus partidarios creen que sus puntos de vista simplemente reflejan el Islam, mientras que la idea contraria de que el Islam es, o puede ser, apolítico es un error. Entre los estudiosos y observadores que no creen que el Islam sea meramente una ideología política se encuentran Fred Halliday, John Esposito e intelectuales musulmanes como Javed Ahmad Ghamidi. Hayri Abaza argumenta que la falta de distinción entre el islam y el islamismo lleva a muchos en Occidente a apoyar regímenes islámicos antiliberales, en detrimento de los moderados progresistas que buscan separar la religión de la política.
Pregunta: ¿Quién no puede aceptar la idea de que el Islam puede ser apolítico?
Responde estrictamente basándote en el contexto:"
57263ea0271a42140099d7c4,"DECnet is a suite of network protocols created by Digital Equipment Corporation, originally released in 1975 in order to connect two PDP-11 minicomputers. It evolved into one of the first peer-to-peer network architectures, thus transforming DEC into a networking powerhouse in the 1980s. Initially built with three layers, it later (1982) evolved into a seven-layer OSI-compliant networking protocol. The DECnet protocols were designed entirely by Digital Equipment Corporation. However, DECnet Phase II (and later) were open standards with published specifications, and several implementations were developed outside DEC, including one for Linux.",What did DECnet originally do ,connect two PDP-11 minicomputers,"DECnet es un conjunto de protocolos de red creados por Digital Equipment Corporation, lanzada originalmente en 1975 con el fin de conectar dos miniordenadores PDP-11. Se convirtió en una de las primeras arquitecturas de red entre pares, transformando así el DEC en un centro neurálgico de redes en la década de 1980. Inicialmente construido con tres capas, más tarde (en 1982) evolucionó a un protocolo de red compatible con OSI de siete capas. Los protocolos DECnet los diseñó Digital Equipment Corporation en su totalidad. Sin embargo, la fase II de DECnet (y posteriores) fueron estándares abiertos con especificaciones publicadas, y se desarrollaron varias implementaciones fuera de DEC, entre ellas una para Linux.",¿Qué hizo DECnet originalmente? ,conectar dos miniordenadores PDP-11,"Context: DECnet is a suite of network protocols created by Digital Equipment Corporation, originally released in 1975 in order to connect two PDP-11 minicomputers. It evolved into one of the first peer-to-peer network architectures, thus transforming DEC into a networking powerhouse in the 1980s. Initially built with three layers, it later (1982) evolved into a seven-layer OSI-compliant networking protocol. The DECnet protocols were designed entirely by Digital Equipment Corporation. However, DECnet Phase II (and later) were open standards with published specifications, and several implementations were developed outside DEC, including one for Linux.
Question: What did DECnet originally do 
Answer strictly based on the context:","Contexto: DECnet es un conjunto de protocolos de red creados por Digital Equipment Corporation, lanzada originalmente en 1975 con el fin de conectar dos miniordenadores PDP-11. Se convirtió en una de las primeras arquitecturas de red entre pares, transformando así el DEC en un centro neurálgico de redes en la década de 1980. Inicialmente construido con tres capas, más tarde (en 1982) evolucionó a un protocolo de red compatible con OSI de siete capas. Los protocolos DECnet los diseñó Digital Equipment Corporation en su totalidad. Sin embargo, la fase II de DECnet (y posteriores) fueron estándares abiertos con especificaciones publicadas, y se desarrollaron varias implementaciones fuera de DEC, entre ellas una para Linux.
Pregunta: ¿Qué hizo DECnet originalmente? 
Responde estrictamente basándote en el contexto:"
572968cf1d046914007793cf,"Chloroplasts have their own DNA, often abbreviated as ctDNA, or cpDNA. It is also known as the plastome. Its existence was first proved in 1962, and first sequenced in 1986—when two Japanese research teams sequenced the chloroplast DNA of liverwort and tobacco. Since then, hundreds of chloroplast DNAs from various species have been sequenced, but they're mostly those of land plants and green algae—glaucophytes, red algae, and other algal groups are extremely underrepresented, potentially introducing some bias in views of ""typical"" chloroplast DNA structure and content.",Who sequenced the first plastome?,two Japanese research teams,"Los cloroplastos tienen su propio ADN, a menudo abreviado como ctDNA, o cpDNA. También se conoce como el plastoma. Su existencia se demostró por primera vez en 1962, y se secuencia por primera vez en 1986, cuando dos equipos de investigación japoneses secuenciaron el ADN del cloroplasto de la hepática y el tabaco. Desde entonces, se han secuenciado cientos de ADN de cloroplastos de varias especies, pero en su mayoría son de plantas terrestres y algas verdes: los glaucófitos, las algas rojas y otros grupos de algas están extremadamente subrepresentados, lo que puede introducir un sesgo en las vistas de la estructura y el contenido de ADN de cloroplasto ""típico"".",¿Quién secuenció el primer plastoma?,dos equipos de investigación japoneses,"Context: Chloroplasts have their own DNA, often abbreviated as ctDNA, or cpDNA. It is also known as the plastome. Its existence was first proved in 1962, and first sequenced in 1986—when two Japanese research teams sequenced the chloroplast DNA of liverwort and tobacco. Since then, hundreds of chloroplast DNAs from various species have been sequenced, but they're mostly those of land plants and green algae—glaucophytes, red algae, and other algal groups are extremely underrepresented, potentially introducing some bias in views of ""typical"" chloroplast DNA structure and content.
Question: Who sequenced the first plastome?
Answer strictly based on the context:","Contexto: Los cloroplastos tienen su propio ADN, a menudo abreviado como ctDNA, o cpDNA. También se conoce como el plastoma. Su existencia se demostró por primera vez en 1962, y se secuencia por primera vez en 1986, cuando dos equipos de investigación japoneses secuenciaron el ADN del cloroplasto de la hepática y el tabaco. Desde entonces, se han secuenciado cientos de ADN de cloroplastos de varias especies, pero en su mayoría son de plantas terrestres y algas verdes: los glaucófitos, las algas rojas y otros grupos de algas están extremadamente subrepresentados, lo que puede introducir un sesgo en las vistas de la estructura y el contenido de ADN de cloroplasto ""típico"".
Pregunta: ¿Quién secuenció el primer plastoma?
Responde estrictamente basándote en el contexto:"
5726acc1f1498d1400e8e6ca,"As Jamukha and Temüjin drifted apart in their friendship, each began consolidating power, and soon became rivals. Jamukha supported the traditional Mongolian aristocracy, while Temüjin followed a meritocratic method, and attracted a broader, though lower class, range of followers. Due to his earlier defeat of the Merkits, and a proclamation by the shaman Kokochu that the Eternal Blue Sky had set aside the world for Temüjin, Temüjin began rising to power. In 1186, Temüjin was elected khan of the Mongols. However, Jamukha, threatened by Temüjin's rapid ascent, quickly moved to stop Temüjin's ambitions. In 1187, he launched an attack against his former friend with an army of thirty thousand troops. Temüjin hastily gathered together his followers to defend against the attack, but he was decisively beaten in the Battle of Dalan Balzhut. Jamukha horrified people greatly and harmed his image by boiling seventy young male captives alive in cauldrons, alienating many of his potential followers and eliciting sympathy for Temüjin. Toghrul, as Temüjin's patron, was exiled to the Qara Khitai. The life of Temüjin for the next ten years is very unclear, as historical records are mostly silent on that period.",Who did Jamukha support that were not part of Temüjin's power base?,the traditional Mongolian aristocracy,"A medida que la amistad entre Jamukha y Temujin se fue distanciando, cada uno comenzó a consolidar su poder, y pronto se convirtieron en rivales. Jamukha apoyó la aristocracia tradicional mongola, mientras que Temüjin siguió un método meritocrático, y atrajo a una mayor variedad de seguidores, aunque de clase más baja. Debido a su anterior derrota a los merkitas y a la proclamación del chamán Kokochu de que el Cielo Azul Eterno había dejado el mundo a un lado por Temujin, este comenzó a elevarse al poder. En 1186, Temujin fue elegido khan de los mongoles. Sin embargo, Jamukha, amenazado por el rápido ascenso de Temujin, rápidamente se movilizó para detener sus ambiciones. En 1187, lanzó un ataque contra su antiguo amigo con un ejército de treinta mil soldados. Temujin se apresuró a reunir a sus seguidores para defenderse contra el ataque, pero fue derrotado contundentemente en la batalla de Dalan Balzhut. Jamukha horrorizó enormemente a la gente y dañó su imagen al poner a hervir vivos en calderas a setenta jóvenes varones cautivos, distanciando a muchos de sus potenciales seguidores y suscitando simpatía por Temujin. Toghrul, como patrón de Temujin, fue exiliado a la Qara Khitai. La vida de Temujin durante los próximos diez años es muy poco clara, ya que los registros históricos guardan silencio sobre ese período.",¿A quién apoyó Jamukha que no formaba parte de la base de poder de Temujin?,la aristocracia tradicional mongola,"Context: As Jamukha and Temüjin drifted apart in their friendship, each began consolidating power, and soon became rivals. Jamukha supported the traditional Mongolian aristocracy, while Temüjin followed a meritocratic method, and attracted a broader, though lower class, range of followers. Due to his earlier defeat of the Merkits, and a proclamation by the shaman Kokochu that the Eternal Blue Sky had set aside the world for Temüjin, Temüjin began rising to power. In 1186, Temüjin was elected khan of the Mongols. However, Jamukha, threatened by Temüjin's rapid ascent, quickly moved to stop Temüjin's ambitions. In 1187, he launched an attack against his former friend with an army of thirty thousand troops. Temüjin hastily gathered together his followers to defend against the attack, but he was decisively beaten in the Battle of Dalan Balzhut. Jamukha horrified people greatly and harmed his image by boiling seventy young male captives alive in cauldrons, alienating many of his potential followers and eliciting sympathy for Temüjin. Toghrul, as Temüjin's patron, was exiled to the Qara Khitai. The life of Temüjin for the next ten years is very unclear, as historical records are mostly silent on that period.
Question: Who did Jamukha support that were not part of Temüjin's power base?
Answer strictly based on the context:","Contexto: A medida que la amistad entre Jamukha y Temujin se fue distanciando, cada uno comenzó a consolidar su poder, y pronto se convirtieron en rivales. Jamukha apoyó la aristocracia tradicional mongola, mientras que Temüjin siguió un método meritocrático, y atrajo a una mayor variedad de seguidores, aunque de clase más baja. Debido a su anterior derrota a los merkitas y a la proclamación del chamán Kokochu de que el Cielo Azul Eterno había dejado el mundo a un lado por Temujin, este comenzó a elevarse al poder. En 1186, Temujin fue elegido khan de los mongoles. Sin embargo, Jamukha, amenazado por el rápido ascenso de Temujin, rápidamente se movilizó para detener sus ambiciones. En 1187, lanzó un ataque contra su antiguo amigo con un ejército de treinta mil soldados. Temujin se apresuró a reunir a sus seguidores para defenderse contra el ataque, pero fue derrotado contundentemente en la batalla de Dalan Balzhut. Jamukha horrorizó enormemente a la gente y dañó su imagen al poner a hervir vivos en calderas a setenta jóvenes varones cautivos, distanciando a muchos de sus potenciales seguidores y suscitando simpatía por Temujin. Toghrul, como patrón de Temujin, fue exiliado a la Qara Khitai. La vida de Temujin durante los próximos diez años es muy poco clara, ya que los registros históricos guardan silencio sobre ese período.
Pregunta: ¿A quién apoyó Jamukha que no formaba parte de la base de poder de Temujin?
Responde estrictamente basándote en el contexto:"
